id,number,class,price,discount,price_after_discount,seat_number,passenger_full_name,departure,arrival,flight_id,customer_id
1987,0000721866145,Economy,364.00,0.00,364.00,28B,Lemmie Gotthard,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,46bb612e-365e-4699-abce-83d277182ac2
1920,0002937677975,Economy,364.00,0.00,364.00,10D,Sarah Torritti,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,6eddf366-8cf6-4b54-8f3b-b2e7ce92f71f
1943,0001836494065,Economy,364.00,0.00,364.00,10F,Ardelis Gatehouse,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,ab640f06-8a01-4883-ac2e-4389abfd3341
1976,0000649100334,Economy,364.00,0.00,364.00,13C,Tammie Blacksell,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,8b8fd8c4-387d-41d2-ab44-9d0b6e472b2e
1822,0004524280109,Economy,364.00,0.00,364.00,20A,Nickola Wharf,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,ca7d79e4-dd46-4eaf-8ceb-f04ea9785116
1787,0000335879559,Economy,364.00,0.00,364.00,30B,Lisha Sly,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,9e15e1cb-bbf0-4bc3-8fbb-6a59dbbca429
1945,0006210067140,Economy,364.00,0.00,364.00,13D,Nananne Cumberbatch,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,5f831b88-71f9-4984-b6ee-0d619789cf44
1825,0008941006114,Economy,364.00,0.00,364.00,19C,Patsy Belin,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,7663e30f-e3e9-414d-abc2-fb65eb64e4cf
1942,0001449762561,Economy,364.00,0.00,364.00,20F,Auroora Kopp,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,f4ff5443-c4c1-416a-afe5-fd01718ae82c
1928,0008465061446,Economy,364.00,0.00,364.00,28A,Ros Cosely,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,18f2109e-0473-46c2-a3d8-b87ee2ebe30d
1978,0003302729123,Economy,364.00,0.00,364.00,30C,Denice Epdell,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,971a44df-fbb7-478c-99a9-1f280a8c29f1
1952,0005623577925,Economy,364.00,0.00,364.00,12E,Abdul Snarie,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,6e895153-a293-44af-9e10-cfe574253fc6
1919,0007542115995,Economy,364.00,0.00,364.00,16B,Theda Pimlock,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,bbb8b24f-46bc-43d1-b821-f871718dea7e
1956,0002235340249,Economy,364.00,0.00,364.00,12C,Asia Tibald,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,54ef216f-6be1-43d4-a550-701dead17773
1693,0005625172385,Economy,364.00,0.00,364.00,12D,Ludwig Smallcomb,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,1edb42ea-2a5d-408b-8eb7-c469f13a2dfb
1975,0004215437223,Economy,364.00,0.00,364.00,29C,Gwendolen Roskrug,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,6,8805ccfb-6096-48ef-9592-24f010d8afac
